,city,company_full_names,company_name,create_time,positionId,positionName,salary,salary_max,salary_min,comp_id,city_id,pos_class
1022,北京,北京无限向溯科技有限公司,WIFIPIX无限向溯,2018-05-04,4517519,python研发工程师,12k-20k,20000,12000,928,20,普通
1023,北京,深圳晶泰科技有限公司,晶泰科技,2018-05-02,3104419,Python后台开发,10k-18k,18000,10000,645,20,普通
1024,深圳,深圳市博悦科创科技有限公司,博悦科创,2018-04-28,3890889,python开发工程师,9k-16k,16000,9000,744,19,普通
1025,北京,北京小龙虾科技有限公司,聚宽 JoinQuant,2018/05/07,3522962,Python系统开发工程师,15k-30k,30000,15000,794,20,普通
1026,北京,深圳市赢时胜信息技术股份有限公司,赢时胜软件,2018-05-03,4514858,python开发工程师,10k-15k,15000,10000,1048,20,普通
1027,成都,四川源码时代科技有限公司,源码时代,2018-05-02,3890002,python高级开发工程师,15k-30k,30000,15000,347,35,高级
1028,北京,开网科技北京有限公司,开网科技,2018-04-27,4493996,Python开发工程师,8k-12k,12000,8000,1,20,普通
1029,广州,广州纷可网络有限公司,Funkey GZ,2018-04-22,4461746,Python开发工程师,10k-15k,15000,10000,12,12,普通
1030,北京,乐学在线教育科技（北京）有限公司,乐学在线,2018-04-20,4416481,Python工程师,15k-30k,30000,15000,849,20,普通
1031,深圳,深圳市有限元科技有限公司,有限元,2018/05/07,3299096,python软件开发工程师,7k-14k,14000,7000,595,19,普通
1032,北京,小付钱包技术（北京）有限公司,小付钱包技术（北京）有限公司,2018-05-04,4522635,Python开发工程师,8k-16k,16000,8000,934,20,普通
1033,北京,北京陌陌科技有限公司,陌陌,2018-05-04,4273452,Python高级/中级研发工程师(安全方向),20k-40k,40000,20000,464,20,高级
1034,北京,北京四通工控技术有限公司,四通工控,2018-05-04,3771921,Python程序员,8K-15K,15000,8000,663,20,普通
1035,上海,上海司睿杰建筑科技有限公司,司睿杰建科,2018-04-27,4334488,python工程师,10k-20k,20000,10000,939,22,普通
1036,深圳,深圳柚子街科技有限公司,柚子街,2018-05-03,4270104,Python工程师,6k-10k,10000,6000,784,19,普通
1037,深圳,深圳市埃提思科技开发有限公司,ITS,2018-05-03,1989191,Python,8k-15k,15000,8000,752,19,普通
1038,成都,成都火龙果科技有限公司,成都火龙果科技有限公司,2018-05-03,2361970,Python,8k-10k,10000,8000,942,35,普通
